Date	mkt-rf	smb	hml	rf	mkt
1962/1/2	-0.008	0.0087	0.0058	0.00011	-0.00811
1962/1/3	0.0024	0.0022	0.0097	0.00011	0.00229
1962/1/4	-0.0083	0.0001	0.0066	0.00011	-0.00841
1962/1/5	-0.0134	0.0007	0.0032	0.00011	-0.01351
1962/1/8	-0.0075	0.0022	0.0032	0.00011	-0.00761
1962/1/9	0.0002	-0.0012	0.0034	0.00011	9.00E-05
1962/1/10	-0.0024	0.0001	-0.002	0.00011	-0.00251
1962/1/11	0.0061	-0.0005	0.0008	0.00011	0.00599
1962/1/12	0.0033	0.0018	0.0025	0.00011	0.00319
1962/1/15	-0.0024	0.0007	0.0007	0.00011	-0.00251
1962/1/16	-0.0053	0.0018	0.0004	0.00011	-0.00541
1962/1/17	-0.0101	0.0025	0.0039	0.00011	-0.01021
1962/1/18	0.0005	0.0014	-0.0003	0.00011	0.00039
1962/1/19	0.0056	0.0041	0.0023	0.00011	0.00549
1962/1/22	-0.0002	-0.0009	-0.0016	0.00011	-0.00031
1962/1/23	-0.0069	0.0013	0.001	0.00011	-0.00701
1962/1/24	0.002	-0.0039	0.0008	0.00011	0.00189
1962/1/25	-0.0013	0.0018	0.0028	0.00011	-0.00141
1962/1/26	-0.0029	-0.0003	0.0052	0.00011	-0.00301
1962/1/29	-0.0033	-0.0024	0.0037	0.00011	-0.00341
1962/1/30	0.0033	-0.001	0.0024	0.00011	0.00319
1962/1/31	0.0094	-0.0014	-0.0026	0.00011	0.00929
1962/2/1	0.0055	-0.0053	0.0022	0.00011	0.00539
1962/2/2	0.0077	-0.0025	0.0001	0.00011	0.00759
1962/2/5	0.0016	0.0003	0.0006	0.00011	0.00149
1962/2/6	0.0022	0.0004	-0.0022	0.00011	0.00209
1962/2/7	0.007	-0.0023	0.0018	0.00011	0.00689
1962/2/8	0.0018	0.0008	-0.0016	0.00011	0.00169
1962/2/9	-0.001	0.0005	-0.0013	0.00011	-0.00111
1962/2/12	-0.0004	-0.0004	0.003	0.00011	-0.00051
1962/2/13	0.0002	0.002	0.0001	0.00011	9.00E-05
1962/2/14	-0.0005	-0.0001	0.0012	0.00011	-0.00061
1962/2/15	0.0042	-0.0032	0.0027	0.00011	0.00409
1962/2/16	-0.0023	0.0026	0.0013	0.00011	-0.00241
1962/2/19	-0.0024	-0.0019	0.0039	0.00011	-0.00251
1962/2/20	0.0033	-0.0024	0.001	0.00011	0.00319
1962/2/21	-0.0049	0.0015	-0.0013	0.00011	-0.00501
1962/2/23	-0.0021	-0.0007	0.0004	0.00011	-0.00221
1962/2/26	-0.005	-0.001	0.0003	0.00011	-0.00511
1962/2/27	0.0014	-0.0012	-0.0008	0.00011	0.00129
1962/2/28	0.0016	0.0016	-0.0033	0.00011	0.00149
1962/3/1	0.0032	0	-0.0006	9.00E-05	0.00311
1962/3/2	-0.0007	0.003	0	9.00E-05	-0.00079
1962/3/5	-0.0022	0.0013	-0.0021	9.00E-05	-0.00229
1962/3/6	-0.0033	0.0035	-0.0022	9.00E-05	-0.00339
1962/3/7	-0.0012	-0.0001	-0.002	9.00E-05	-0.00129
1962/3/8	0.0073	-0.0008	-0.0027	9.00E-05	0.00721
1962/3/9	0.0029	0.0019	-0.001	9.00E-05	0.00281
1962/3/12	-0.0002	0.0023	-0.0028	9.00E-05	-0.00029
1962/3/13	0.0028	-0.003	0.0018	9.00E-05	0.00271
1962/3/14	0.004	-0.0027	-0.001	9.00E-05	0.00391
1962/3/15	0.0017	-0.001	-0.0011	9.00E-05	0.00161
1962/3/16	-0.0008	0.0015	-0.0005	9.00E-05	-0.00089
1962/3/19	-0.0019	0.0002	0.0014	9.00E-05	-0.00199
1962/3/20	-0.0026	-0.0009	0.0008	9.00E-05	-0.00269
1962/3/21	-0.0021	0.0003	0.0008	9.00E-05	-0.00219
1962/3/22	-0.0014	0.004	-0.0036	9.00E-05	-0.00149
1962/3/23	0.0008	-0.0007	-0.0021	9.00E-05	0.00071
1962/3/26	-0.0076	0.0023	-0.0014	9.00E-05	-0.00769
1962/3/27	-0.0027	-0.0012	0.003	9.00E-05	-0.00279
